Índice FipeZAP,Imóveis residenciais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Venda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rentabilidade do aluguel (rental yield),,,,
,Var. mensal (%),,,,,Var. em 12 meses (%),,,,,Preço médio (R$/m²),,,,,Var. mensal (%),,,,,Var. em 12 meses (%),,,,,Preço médio (R$/m²),,,,,(% - mensalizada),,,,
Data,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D
May-18, -0.01%, -0.04%, -0.05%,+0.03%,+0.07%, -0.56%, -1.51%, -0.62%,+0.01%,+1.00%,"6,883","7,954","6,313","6,621","7,822",+0.13%,+0.27%,+0.09%,+0.06%, -0.03%,+0.60%,+0.29%,+0.49%,+0.68%,+1.86%,27.0,35.6,25.3,23.1,25.8,0.37%,0.41%,0.37%,0.33%,0.31%
Jun-18, -0.06%, -0.02%, -0.07%, -0.10%, -0.02%, -0.47%, -1.17%, -0.54%, -0.05%,+0.81%,"6,879","7,952","6,309","6,614","7,820",+0.03%,+0.05%,+0.16%, -0.13%, -0.26%,+0.75%,+0.52%,+0.72%,+0.62%,+1.88%,27.0,35.6,25.4,23.1,25.7,0.37%,0.41%,0.38%,0.33%,0.31%
Jul-18, -0.07%, -0.08%, -0.06%, -0.08%, -0.07%, -0.38%, -0.83%, -0.49%, -0.11%,+0.67%,"6,874","7,946","6,305","6,609","7,815",+0.06%,+0.11%,+0.24%, -0.09%, -0.49%,+1.02%,+1.35%,+1.09%,+0.45%,+1.01%,27.0,35.6,25.4,23.0,25.6,0.37%,0.41%,0.38%,0.33%,0.31%
Aug-18, -0.06%, -0.01%, -0.05%, -0.06%, -0.17%, -0.32%, -0.51%, -0.43%, -0.12%,+0.36%,"6,870","7,945","6,302","6,605","7,802",+0.08%,+0.17%,+0.23%, -0.12%, -0.48%,+1.44%,+2.06%,+1.76%,+0.56%, -0.12%,27.1,35.7,25.5,23.0,25.4,0.37%,0.42%,0.38%,0.33%,0.31%
Sep-18, -0.03%, -0.02%, -0.02%, -0.03%, -0.07%, -0.28%, -0.43%, -0.34%, -0.09%,+0.11%,"6,868","7,943","6,300","6,603","7,796", -0.01%,+0.42%,+0.03%, -0.29%, -1.17%,+1.72%,+3.03%,+2.06%,+0.54%, -1.77%,27.1,35.8,25.5,22.9,25.1,0.37%,0.42%,0.38%,0.33%,0.30%
Oct-18, -0.06%, -0.16%, -0.05%,+0.03%, -0.07%, -0.35%, -0.62%, -0.36%, -0.02%, -0.15%,"6,864","7,931","6,297","6,605","7,790", -0.04%,+0.64%, -0.23%, -0.31%, -0.91%,+1.97%,+3.83%,+2.21%,+0.58%, -2.62%,27.1,36.1,25.4,22.9,24.9,0.37%,0.42%,0.38%,0.33%,0.30%
Nov-18,+0.06%, -0.10%,+0.06%,+0.19%,+0.16%, -0.31%, -0.78%, -0.36%,+0.19%, -0.10%,"6,868","7,923","6,301","6,617","7,802", -0.08%,+0.23%, -0.16%, -0.10%, -0.80%,+2.03%,+4.28%,+2.11%,+0.49%, -2.67%,27.0,36.1,25.4,22.8,24.7,0.37%,0.42%,0.38%,0.33%,0.30%
Dec-18,+0.11%,+0.05%,+0.13%,+0.20%,+0.09%, -0.21%, -0.68%, -0.27%,+0.37%, -0.09%,"6,876","7,927","6,309","6,630","7,809",+0.38%,+0.64%,+0.14%,+0.44%,+0.42%,+2.33%,+4.77%,+2.11%,+0.91%, -2.07%,27.1,36.4,25.4,22.9,24.8,0.37%,0.43%,0.38%,0.33%,0.30%
Jan-19,+0.13%,+0.09%,+0.16%,+0.12%,+0.13%, -0.06%, -0.59%, -0.08%,+0.50%,+0.02%,"6,885","7,934","6,319","6,639","7,819",+0.41%,+0.59%,+0.33%,+0.32%,+0.41%,+2.39%,+5.11%,+2.02%,+0.84%, -1.83%,27.2,36.6,25.5,23.0,24.9,0.37%,0.43%,0.38%,0.33%,0.30%
Feb-19,+0.08%,+0.14%,+0.15%, -0.04%, -0.04%,+0.07%, -0.31%,+0.14%,+0.43%,+0.00%,"6,891","7,945","6,329","6,636","7,816",+0.65%,+1.11%,+0.50%,+0.44%,+0.29%,+2.47%,+5.46%,+2.02%,+0.92%, -2.28%,27.4,37.0,25.6,23.1,25.0,0.37%,0.43%,0.38%,0.34%,0.30%
Mar-19,+0.02%, -0.01%,+0.08%, -0.01%, -0.07%,+0.11%, -0.22%,+0.26%,+0.32%, -0.05%,"6,892","7,944","6,334","6,635","7,811",+0.61%,+0.57%,+0.72%,+0.61%,+0.21%,+2.54%,+5.38%,+2.30%,+1.00%, -2.65%,27.6,37.2,25.8,23.3,25.1,0.38%,0.43%,0.38%,0.34%,0.30%
Apr-19,+0.14%,+0.22%,+0.25%,+0.03%, -0.13%,+0.26%,+0.05%,+0.53%,+0.28%, -0.20%,"6,902","7,961","6,350","6,637","7,801",+0.81%,+0.65%,+1.03%,+0.81%,+0.41%,+3.06%,+5.57%,+3.11%,+1.65%, -2.39%,27.8,37.4,26.1,23.5,25.2,0.38%,0.44%,0.39%,0.34%,0.31%
May-19, -0.06%,+0.06%, -0.04%, -0.10%, -0.34%,+0.21%,+0.15%,+0.54%,+0.15%, -0.61%,"6,898","7,966","6,347","6,631","7,774",+0.56%,+0.36%,+0.57%,+0.80%,+0.53%,+3.50%,+5.66%,+3.60%,+2.40%, -1.84%,28.0,37.6,26.2,23.6,25.3,0.38%,0.44%,0.39%,0.34%,0.31%
Jun-19, -0.03%,+0.08%, -0.03%, -0.11%, -0.19%,+0.25%,+0.25%,+0.58%,+0.14%, -0.78%,"6,896","7,972","6,345","6,623","7,760",+0.36%,+0.41%,+0.16%,+0.48%,+0.89%,+3.85%,+6.05%,+3.60%,+3.02%, -0.71%,28.1,37.7,26.3,23.8,25.5,0.38%,0.44%,0.39%,0.35%,0.31%
Jul-19, -0.03%, -0.04%, -0.01%, -0.09%, -0.02%,+0.28%,+0.29%,+0.63%,+0.13%, -0.73%,"6,894","7,969","6,345","6,617","7,758",+0.08%,+0.06%, -0.07%,+0.23%,+0.64%,+3.88%,+6.00%,+3.28%,+3.35%,+0.41%,28.1,37.8,26.3,23.8,25.7,0.38%,0.44%,0.39%,0.35%,0.31%
Aug-19,+0.06%,+0.00%,+0.05%,+0.03%,+0.24%,+0.40%,+0.30%,+0.74%,+0.22%, -0.32%,"6,898","7,969","6,348","6,619","7,776",+0.07%, -0.02%,+0.04%,+0.23%,+0.27%,+3.87%,+5.79%,+3.09%,+3.71%,+1.18%,28.1,37.7,26.3,23.9,25.7,0.39%,0.44%,0.39%,0.35%,0.31%
Sep-19, -0.15%, -0.26%, -0.15%, -0.01%, -0.19%,+0.28%,+0.07%,+0.61%,+0.23%, -0.44%,"6,887","7,948","6,339","6,618","7,761",+0.22%,+0.20%,+0.27%,+0.21%, -0.07%,+4.11%,+5.55%,+3.35%,+4.22%,+2.29%,28.2,37.8,26.3,23.9,25.7,0.39%,0.45%,0.39%,0.35%,0.31%
Oct-19, -0.14%, -0.34%, -0.11%, -0.03%, -0.15%,+0.19%, -0.11%,+0.54%,+0.18%, -0.52%,"6,877","7,922","6,332","6,617","7,750",+0.41%,+0.69%,+0.41%,+0.24%, -0.22%,+4.58%,+5.60%,+4.00%,+4.79%,+3.01%,28.3,38.1,26.4,24.0,25.7,0.39%,0.46%,0.40%,0.35%,0.31%
Nov-19,+0.00%, -0.01%,+0.02%,+0.02%, -0.10%,+0.14%, -0.02%,+0.50%,+0.01%, -0.77%,"6,878","7,921","6,333","6,618","7,742",+0.36%,+0.19%,+0.39%,+0.44%,+0.66%,+5.03%,+5.56%,+4.58%,+5.35%,+4.52%,28.4,38.2,26.6,24.1,25.8,0.39%,0.46%,0.40%,0.35%,0.31%
Dec-19, -0.02%,+0.01%,+0.01%, -0.09%, -0.02%,+0.00%, -0.06%,+0.39%, -0.27%, -0.88%,"6,876","7,922","6,334","6,612","7,741",+0.28%, -0.08%,+0.44%,+0.31%,+0.89%,+4.93%,+4.81%,+4.90%,+5.22%,+5.01%,28.5,38.1,26.7,24.1,26.1,0.39%,0.46%,0.40%,0.35%,0.32%
Jan-20,+0.16%,+0.20%,+0.18%,+0.07%,+0.21%,+0.02%,+0.05%,+0.41%, -0.32%, -0.79%,"6,887","7,938","6,345","6,617","7,757",+0.38%,+0.09%,+0.52%,+0.58%,+0.42%,+4.90%,+4.28%,+5.09%,+5.49%,+5.02%,28.6,38.2,26.8,24.3,26.2,0.40%,0.46%,0.40%,0.35%,0.31%
Feb-20,+0.15%,+0.19%,+0.19%,+0.05%,+0.19%,+0.10%,+0.10%,+0.45%, -0.23%, -0.57%,"6,897","7,953","6,357","6,620","7,772",+0.51%,+0.25%,+0.62%,+0.61%,+0.83%,+4.75%,+3.40%,+5.22%,+5.67%,+5.58%,28.7,38.3,27.0,24.4,26.4,0.40%,0.46%,0.40%,0.35%,0.31%
Mar-20,+0.18%,+0.33%,+0.16%,+0.09%,+0.13%,+0.25%,+0.45%,+0.53%, -0.13%, -0.37%,"6,910","7,979","6,368","6,626","7,782",+0.99%,+1.18%,+0.85%,+0.82%,+1.34%,+5.14%,+4.02%,+5.35%,+5.89%,+6.77%,29.0,38.7,27.2,24.6,26.7,0.40%,0.47%,0.41%,0.36%,0.32%
Apr-20,+0.20%,+0.35%,+0.17%,+0.13%,+0.11%,+0.31%,+0.57%,+0.46%, -0.04%, -0.13%,"6,923","8,007","6,378","6,635","7,791",+0.95%,+1.13%,+0.88%,+0.74%,+1.02%,+5.29%,+4.53%,+5.19%,+5.82%,+7.42%,29.3,39.1,27.4,24.8,27.0,0.40%,0.47%,0.41%,0.36%,0.32%
May-20,+0.23%,+0.37%,+0.20%,+0.17%,+0.08%,+0.60%,+0.89%,+0.70%,+0.23%,+0.29%,"6,939","8,037","6,391","6,646","7,797",+0.42%,+0.54%,+0.35%,+0.46%,+0.05%,+5.15%,+4.72%,+4.96%,+5.46%,+6.91%,29.4,39.4,27.5,24.9,27.0,0.41%,0.47%,0.41%,0.36%,0.32%
Jun-20,+0.18%,+0.15%,+0.19%,+0.15%,+0.24%,+0.81%,+0.96%,+0.92%,+0.50%,+0.71%,"6,952","8,049","6,404","6,657","7,815", -0.13%, -0.32%, -0.21%,+0.14%,+0.01%,+4.63%,+3.95%,+4.57%,+5.11%,+5.98%,29.4,39.2,27.5,25.0,27.0,0.40%,0.47%,0.41%,0.36%,0.32%
Jul-20,+0.28%,+0.28%,+0.31%,+0.24%,+0.34%,+1.13%,+1.29%,+1.24%,+0.84%,+1.08%,"6,972","8,072","6,424","6,673","7,842", -0.40%, -0.61%, -0.54%, -0.22%,+0.61%,+4.12%,+3.26%,+4.07%,+4.64%,+5.95%,29.3,39.0,27.3,24.9,27.2,0.40%,0.46%,0.41%,0.36%,0.32%
Aug-20,+0.37%,+0.30%,+0.36%,+0.43%,+0.47%,+1.45%,+1.59%,+1.55%,+1.24%,+1.31%,"6,997","8,096","6,447","6,701","7,878", -0.28%, -0.50%, -0.42%, -0.11%,+0.77%,+3.75%,+2.76%,+3.60%,+4.29%,+6.48%,29.2,38.8,27.2,24.9,27.4,0.40%,0.46%,0.40%,0.36%,0.32%
Sep-20,+0.53%,+0.45%,+0.53%,+0.61%,+0.69%,+2.14%,+2.31%,+2.24%,+1.87%,+2.20%,"7,035","8,132","6,480","6,742","7,933", -0.31%, -0.58%, -0.30%, -0.25%,+0.79%,+3.20%,+1.96%,+3.00%,+3.81%,+7.40%,29.1,38.6,27.1,24.8,27.6,0.40%,0.46%,0.40%,0.35%,0.32%
Oct-20,+0.42%,+0.17%,+0.45%,+0.48%,+0.76%,+2.71%,+2.83%,+2.82%,+2.39%,+3.14%,"7,064","8,146","6,510","6,775","7,993", -0.12%, -0.48%, -0.06%,+0.11%,+0.33%,+2.66%,+0.78%,+2.53%,+3.68%,+7.98%,29.0,38.4,27.1,24.8,27.7,0.39%,0.45%,0.40%,0.35%,0.32%
Nov-20,+0.45%,+0.23%,+0.49%,+0.48%,+0.78%,+3.17%,+3.07%,+3.31%,+2.86%,+4.04%,"7,096","8,165","6,542","6,807","8,055",+0.03%, -0.15%,+0.01%,+0.10%,+0.77%,+2.32%,+0.44%,+2.13%,+3.33%,+8.10%,29.1,38.3,27.1,24.9,27.9,0.39%,0.45%,0.40%,0.35%,0.32%
Dec-20,+0.46%,+0.50%,+0.43%,+0.36%,+0.76%,+3.67%,+3.58%,+3.73%,+3.32%,+4.85%,"7,128","8,206","6,570","6,832","8,116",+0.43%,+0.59%,+0.29%,+0.44%,+0.50%,+2.48%,+1.11%,+1.99%,+3.46%,+7.67%,29.2,38.5,27.2,25.0,28.1,0.39%,0.45%,0.40%,0.35%,0.32%
Jan-21,+0.35%,+0.58%,+0.21%,+0.30%,+0.40%,+3.87%,+3.97%,+3.76%,+3.56%,+5.06%,"7,154","8,253","6,584","6,853","8,149",+0.21%,+0.16%,+0.28%,+0.27%, -0.15%,+2.31%,+1.19%,+1.74%,+3.15%,+7.07%,29.2,38.6,27.3,25.0,28.0,0.39%,0.45%,0.40%,0.35%,0.32%
Feb-21,+0.26%,+0.35%,+0.16%,+0.24%,+0.45%,+3.99%,+4.14%,+3.73%,+3.76%,+5.32%,"7,173","8,282","6,595","6,870","8,185",+0.24%, -0.10%,+0.36%,+0.43%,+0.18%,+2.03%,+0.84%,+1.49%,+2.96%,+6.39%,29.3,38.6,27.4,25.2,28.1,0.39%,0.45%,0.40%,0.35%,0.32%
Mar-21,+0.18%,+0.19%,+0.04%,+0.29%,+0.22%,+3.99%,+4.00%,+3.60%,+3.97%,+5.41%,"7,185","8,298","6,597","6,890","8,203",+0.02%, -0.52%,+0.12%,+0.46%,+0.10%,+1.05%, -0.86%,+0.75%,+2.59%,+5.08%,29.3,38.4,27.4,25.3,28.1,0.39%,0.44%,0.40%,0.35%,0.32%
Apr-21,+0.30%,+0.37%,+0.16%,+0.37%,+0.36%,+4.10%,+4.02%,+3.59%,+4.23%,+5.68%,"7,207","8,329","6,607","6,915","8,233",+0.19%, -0.11%,+0.16%,+0.45%,+0.92%,+0.29%, -2.08%,+0.03%,+2.29%,+4.98%,29.4,38.3,27.4,25.4,28.4,0.39%,0.44%,0.40%,0.35%,0.32%
May-21,+0.48%,+0.53%,+0.39%,+0.54%,+0.43%,+4.36%,+4.19%,+3.78%,+4.61%,+6.06%,"7,242","8,373","6,633","6,952","8,269",+0.11%, -0.29%,+0.25%,+0.35%,+0.18%, -0.02%, -2.89%, -0.06%,+2.18%,+5.12%,29.4,38.2,27.5,25.5,28.4,0.39%,0.44%,0.40%,0.35%,0.32%
Jun-21,+0.57%,+0.50%,+0.61%,+0.64%,+0.38%,+4.76%,+4.54%,+4.21%,+5.11%,+6.21%,"7,283","8,415","6,674","6,997","8,300", -0.00%, -0.49%,+0.17%,+0.19%,+0.47%,+0.11%, -3.05%,+0.33%,+2.22%,+5.60%,29.4,38.0,27.6,25.5,28.6,0.39%,0.43%,0.39%,0.35%,0.32%
Jul-21,+0.64%,+0.49%,+0.72%,+0.71%,+0.47%,+5.13%,+4.76%,+4.64%,+5.60%,+6.34%,"7,330","8,456","6,722","7,046","8,339",+0.13%, -0.30%,+0.31%,+0.37%,+0.17%,+0.64%, -2.75%,+1.19%,+2.83%,+5.13%,29.4,37.9,27.7,25.6,28.6,0.38%,0.43%,0.39%,0.35%,0.32%
Aug-21,+0.50%,+0.59%,+0.41%,+0.61%,+0.33%,+5.27%,+5.07%,+4.69%,+5.79%,+6.20%,"7,367","8,506","6,749","7,089","8,366",+0.37%,+0.22%,+0.40%,+0.45%,+0.66%,+1.30%, -2.04%,+2.01%,+3.41%,+5.02%,29.5,38.0,27.8,25.7,28.8,0.38%,0.43%,0.39%,0.35%,0.32%
Sep-21,+0.43%,+0.65%,+0.33%,+0.41%,+0.26%,+5.17%,+5.28%,+4.49%,+5.57%,+5.74%,"7,398","8,561","6,771","7,118","8,388",+0.52%,+0.40%,+0.59%,+0.56%,+0.59%,+2.14%, -1.07%,+2.93%,+4.25%,+4.81%,29.7,38.1,27.9,25.9,29.0,0.39%,0.43%,0.40%,0.35%,0.32%
Oct-21,+0.43%,+0.56%,+0.41%,+0.42%,+0.18%,+5.18%,+5.69%,+4.44%,+5.51%,+5.13%,"7,430","8,609","6,799","7,148","8,403",+0.57%,+0.22%,+0.67%,+0.76%,+0.73%,+2.85%, -0.38%,+3.67%,+4.94%,+5.23%,29.9,38.2,28.1,26.1,29.2,0.39%,0.43%,0.40%,0.35%,0.32%
Nov-21,+0.53%,+0.54%,+0.64%,+0.44%,+0.30%,+5.27%,+6.01%,+4.59%,+5.47%,+4.63%,"7,469","8,656","6,842","7,180","8,428",+0.66%,+0.53%,+0.63%,+0.91%,+0.51%,+3.49%,+0.29%,+4.32%,+5.78%,+4.96%,30.1,38.4,28.3,26.3,29.3,0.39%,0.43%,0.40%,0.35%,0.32%
Dec-21,+0.48%,+0.52%,+0.53%,+0.42%,+0.36%,+5.29%,+6.03%,+4.70%,+5.53%,+4.22%,"7,505","8,701","6,879","7,210","8,459",+0.80%,+0.59%,+0.75%,+1.12%,+0.82%,+3.87%,+0.30%,+4.79%,+6.50%,+5.30%,30.3,38.7,28.5,26.6,29.6,0.39%,0.43%,0.40%,0.36%,0.32%
Jan-22,+0.53%,+0.56%,+0.52%,+0.45%,+0.62%,+5.47%,+6.01%,+5.02%,+5.68%,+4.45%,"7,545","8,749","6,914","7,242","8,511",+1.03%,+1.02%,+1.02%,+1.10%,+1.05%,+4.71%,+1.16%,+5.56%,+7.38%,+6.56%,30.6,39.1,28.8,26.9,29.9,0.39%,0.43%,0.40%,0.36%,0.33%
Feb-22,+0.49%,+0.54%,+0.43%,+0.43%,+0.76%,+5.71%,+6.20%,+5.30%,+5.88%,+4.78%,"7,582","8,796","6,944","7,273","8,576",+1.36%,+1.17%,+1.31%,+1.49%,+2.12%,+5.89%,+2.45%,+6.56%,+8.52%,+8.63%,31.0,39.5,29.2,27.3,30.5,0.39%,0.43%,0.40%,0.36%,0.33%
Mar-22,+0.55%,+0.51%,+0.51%,+0.49%,+0.82%,+6.10%,+6.54%,+5.80%,+6.08%,+5.40%,"7,624","8,841","6,980","7,309","8,646",+1.63%,+1.59%,+1.62%,+1.70%,+1.85%,+7.59%,+4.62%,+8.15%,+9.86%,+10.53%,31.5,40.1,29.6,27.8,31.1,0.40%,0.44%,0.41%,0.37%,0.33%
Apr-22,+0.48%,+0.64%,+0.42%,+0.42%,+0.44%,+6.29%,+6.82%,+6.07%,+6.13%,+5.48%,"7,660","8,897","7,009","7,340","8,685",+1.84%,+1.96%,+1.87%,+1.88%,+0.95%,+9.36%,+6.79%,+10.00%,+11.43%,+10.56%,32.1,40.9,30.2,28.3,31.4,0.40%,0.44%,0.41%,0.37%,0.33%
May-22,+0.41%,+0.62%,+0.28%,+0.47%,+0.24%,+6.21%,+6.91%,+5.96%,+6.07%,+5.28%,"7,692","8,952","7,028","7,374","8,705",+1.70%,+1.79%,+2.10%,+1.48%,+0.11%,+11.11%,+9.01%,+12.02%,+12.68%,+10.48%,32.7,41.7,30.8,28.7,31.4,0.41%,0.45%,0.42%,0.38%,0.34%
Jun-22,+0.47%,+0.74%,+0.34%,+0.49%,+0.28%,+6.10%,+7.17%,+5.67%,+5.91%,+5.17%,"7,727","9,018","7,052","7,410","8,729",+1.58%,+1.58%,+2.01%,+1.22%,+0.49%,+12.86%,+11.28%,+14.08%,+13.84%,+10.51%,33.2,42.3,31.4,29.1,31.6,0.41%,0.45%,0.43%,0.38%,0.34%
Jul-22,+0.52%,+0.76%,+0.43%,+0.46%,+0.36%,+5.97%,+7.46%,+5.36%,+5.65%,+5.06%,"7,767","9,087","7,082","7,444","8,761",+1.37%,+1.26%,+1.74%,+1.09%,+0.93%,+14.25%,+13.02%,+15.71%,+14.65%,+11.35%,33.6,42.9,32.0,29.4,31.8,0.42%,0.45%,0.43%,0.38%,0.34%
Aug-22,+0.60%,+0.85%,+0.54%,+0.44%,+0.59%,+6.07%,+7.74%,+5.50%,+5.47%,+5.33%,"7,814","9,164","7,120","7,477","8,813",+1.30%,+1.32%,+1.47%,+1.01%,+1.20%,+15.31%,+14.27%,+16.95%,+15.29%,+11.95%,34.1,43.4,32.5,29.7,32.2,0.42%,0.46%,0.44%,0.39%,0.34%
Sep-22,+0.60%,+0.84%,+0.52%,+0.53%,+0.46%,+6.25%,+7.95%,+5.70%,+5.59%,+5.55%,"7,860","9,242","7,157","7,516","8,853",+1.08%,+1.40%,+0.99%,+1.01%,+0.49%,+15.95%,+15.40%,+17.42%,+15.80%,+11.84%,34.4,44.0,32.8,30.0,32.4,0.42%,0.46%,0.44%,0.39%,0.34%
Oct-22,+0.59%,+0.78%,+0.46%,+0.64%,+0.42%,+6.41%,+8.18%,+5.75%,+5.82%,+5.80%,"7,906","9,313","7,190","7,564","8,891",+0.87%,+1.07%,+0.80%,+0.81%,+0.51%,+16.30%,+16.39%,+17.57%,+15.85%,+11.60%,34.7,44.5,33.1,30.2,32.6,0.42%,0.46%,0.44%,0.39%,0.34%
Nov-22,+0.46%,+0.63%,+0.35%,+0.55%,+0.11%,+6.34%,+8.28%,+5.44%,+5.93%,+5.61%,"7,943","9,373","7,215","7,606","8,901",+0.79%,+0.94%,+0.73%,+0.72%,+0.51%,+16.45%,+16.87%,+17.68%,+15.64%,+11.60%,35.0,44.9,33.3,30.4,32.7,0.43%,0.46%,0.44%,0.39%,0.34%
Dec-22,+0.30%,+0.45%,+0.21%,+0.37%,+0.04%,+6.16%,+8.20%,+5.10%,+5.88%,+5.27%,"7,967","9,414","7,230","7,634","8,904",+0.88%,+0.97%,+0.80%,+0.86%,+0.79%,+16.55%,+17.31%,+17.74%,+15.34%,+11.57%,35.3,45.4,33.6,30.7,33.0,0.43%,0.46%,0.45%,0.39%,0.34%
Jan-23,+0.30%,+0.32%,+0.28%,+0.28%,+0.28%,+5.91%,+7.95%,+4.85%,+5.70%,+4.91%,"7,991","9,444","7,250","7,655","8,929",+1.21%,+1.48%,+1.09%,+1.05%,+1.21%,+16.76%,+17.84%,+17.82%,+15.29%,+11.74%,35.8,46.0,33.9,31.0,33.4,0.43%,0.47%,0.45%,0.39%,0.35%
Feb-23,+0.38%,+0.39%,+0.38%,+0.37%,+0.34%,+5.79%,+7.79%,+4.80%,+5.64%,+4.47%,"8,021","9,481","7,277","7,684","8,959",+1.61%,+1.86%,+1.44%,+1.79%,+0.68%,+17.05%,+18.64%,+17.97%,+15.62%,+10.16%,36.3,46.9,34.4,31.6,33.6,0.44%,0.48%,0.46%,0.40%,0.35%
Mar-23,+0.42%,+0.44%,+0.45%,+0.37%,+0.43%,+5.66%,+7.71%,+4.73%,+5.52%,+4.06%,"8,055","9,522","7,310","7,712","8,998",+1.75%,+1.85%,+1.70%,+1.96%,+0.71%,+17.18%,+18.93%,+18.07%,+15.92%,+8.92%,37.0,47.7,35.0,32.2,33.8,0.44%,0.48%,0.46%,0.41%,0.35%
Apr-23,+0.45%,+0.57%,+0.43%,+0.43%,+0.26%,+5.63%,+7.64%,+4.75%,+5.53%,+3.87%,"8,091","9,577","7,342","7,746","9,021",+1.68%,+1.79%,+1.69%,+1.82%,+0.42%,+17.00%,+18.74%,+17.86%,+15.85%,+8.36%,37.6,48.6,35.6,32.8,34.0,0.45%,0.49%,0.47%,0.41%,0.35%
May-23,+0.46%,+0.58%,+0.44%,+0.45%,+0.30%,+5.67%,+7.60%,+4.92%,+5.51%,+3.93%,"8,128","9,633","7,374","7,781","9,048",+1.29%,+1.32%,+1.47%,+1.16%,+0.75%,+16.52%,+18.19%,+17.14%,+15.50%,+9.05%,38.1,49.2,36.1,33.2,34.2,0.45%,0.49%,0.47%,0.41%,0.35%
Jun-23,+0.51%,+0.68%,+0.46%,+0.49%,+0.37%,+5.72%,+7.54%,+5.04%,+5.51%,+4.03%,"8,170","9,698","7,408","7,819","9,081",+1.38%,+1.67%,+1.38%,+1.08%,+1.18%,+16.29%,+18.29%,+16.41%,+15.33%,+9.79%,38.6,50.1,36.6,33.5,34.6,0.46%,0.50%,0.48%,0.42%,0.36%
Jul-23,+0.41%,+0.49%,+0.33%,+0.38%,+0.52%,+5.61%,+7.25%,+4.94%,+5.43%,+4.19%,"8,203","9,746","7,432","7,849","9,129",+1.35%,+1.77%,+1.04%,+1.22%,+2.00%,+16.27%,+18.89%,+15.61%,+15.48%,+10.96%,39.1,50.9,37.0,33.9,35.3,0.46%,0.50%,0.48%,0.42%,0.36%
Aug-23,+0.44%,+0.54%,+0.35%,+0.43%,+0.47%,+5.44%,+6.92%,+4.75%,+5.42%,+4.07%,"8,239","9,799","7,458","7,882","9,171",+1.33%,+1.78%,+1.03%,+1.11%,+2.13%,+16.30%,+19.43%,+15.10%,+15.60%,+11.99%,39.6,51.9,37.4,34.3,36.1,0.46%,0.51%,0.48%,0.42%,0.37%
Sep-23,+0.45%,+0.54%,+0.38%,+0.45%,+0.40%,+5.29%,+6.60%,+4.60%,+5.34%,+4.00%,"8,276","9,852","7,486","7,918","9,208",+0.96%,+1.13%,+0.96%,+0.75%,+1.23%,+16.16%,+19.11%,+15.06%,+15.29%,+12.81%,40.0,52.4,37.7,34.5,36.5,0.47%,0.51%,0.49%,0.42%,0.37%
Oct-23,+0.54%,+0.59%,+0.54%,+0.52%,+0.35%,+5.24%,+6.40%,+4.69%,+5.21%,+3.92%,"8,320","9,909","7,527","7,959","9,240",+0.70%,+0.76%,+0.87%,+0.50%,+0.28%,+15.96%,+18.74%,+15.15%,+14.95%,+12.56%,40.3,52.8,38.1,34.7,36.6,0.47%,0.51%,0.49%,0.42%,0.37%
Nov-23,+0.37%,+0.21%,+0.47%,+0.33%,+0.44%,+5.14%,+5.95%,+4.82%,+4.99%,+4.26%,"8,352","9,930","7,562","7,985","9,280",+0.85%,+0.99%,+0.92%,+0.67%,+0.55%,+16.03%,+18.79%,+15.38%,+14.89%,+12.59%,40.6,53.4,38.4,35.0,36.8,0.47%,0.52%,0.49%,0.42%,0.37%
Dec-23,+0.29%,+0.04%,+0.34%,+0.34%,+0.57%,+5.13%,+5.52%,+4.96%,+4.96%,+4.82%,"8,376","9,934","7,588","8,012","9,333",+1.00%,+1.34%,+0.82%,+1.03%,+0.24%,+16.16%,+19.23%,+15.41%,+15.09%,+11.98%,41.0,54.1,38.7,35.3,36.9,0.47%,0.53%,0.49%,0.43%,0.37%
Jan-24,+0.36%,+0.30%,+0.35%,+0.36%,+0.48%,+5.19%,+5.50%,+5.03%,+5.04%,+5.03%,"8,406","9,963","7,615","8,041","9,378",+1.26%,+1.49%,+1.13%,+1.49%,+0.14%,+16.22%,+19.24%,+15.45%,+15.59%,+10.80%,41.6,54.9,39.2,35.8,37.0,0.48%,0.53%,0.50%,0.43%,0.37%
Feb-24,+0.49%,+0.52%,+0.43%,+0.52%,+0.49%,+5.31%,+5.64%,+5.09%,+5.20%,+5.20%,"8,447","10,016","7,647","8,083","9,425",+1.28%,+1.60%,+1.00%,+1.52%,+0.47%,+15.85%,+18.95%,+14.95%,+15.29%,+10.57%,42.1,55.8,39.6,36.4,37.2,0.48%,0.54%,0.50%,0.44%,0.37%
Mar-24,+0.64%,+0.80%,+0.60%,+0.64%,+0.35%,+5.54%,+6.02%,+5.24%,+5.48%,+5.11%,"8,501","10,096","7,693","8,135","9,458",+1.16%,+1.23%,+1.11%,+1.13%,+1.51%,+15.19%,+18.22%,+14.29%,+14.34%,+11.45%,42.6,56.4,40.0,36.8,37.7,0.49%,0.54%,0.50%,0.44%,0.37%
